ACCOUNT_NAME,Sum_Sales,Date,QTY
Goodrich Corporation,4074,21/08/2019,
Aspen Dental Management Inc.,4922,06/04/2024,
"NCL (Bahamas) Ltd., d/b/a Norwegian Cruise Line",54288,30/06/2023,
Army,4676,22/10/2022,
Ocean Network Express Pte. Ltd.,5195,28/12/2017,
"Michelin North America, Inc.",3995,30/05/2018,
Cranfield University,4200,29/07/2023,
KBQuest,2500,09/03/2018,
Barclays Execution Services Limited,15955,01/08/2017,
Robert Gordon University,3337,16/06/2021,
"PENN Entertainment, Inc.",65897,01/12/2022,
Distribuidora de Medicamentos Santa Cruz Ltda,1847,29/10/2020,
FAA - Office of Finance (AFN),18702,31/12/2021,
COCA-COLA ENTERPRISES EUROPE LTD,4048,22/05/2019,
Educational Employees Credit Union,1295,20/07/2015,
Research & Marketing Strategies,1295,01/12/2015,
Bank of America Corporation,3100,22/09/2017,
UTILITA ENERGY LIMITED,5030,21/03/2023,
Verizon Communications Inc.,4217,18/03/2023,
Arthur D. Little Services S.A.S.,5495,13/05/2024,
"Google, LLC",3727,15/04/2019,
"West Monroe Partners, LLC",25000,18/07/2022,
"Becton, Dickinson and Company",35274,13/03/2020,
Comisión Federal de Electricidad,27492,01/01/2024,
"Welltok, Inc.",12328,12/12/2014,
"Global Healthcare Alliance, Inc.",10390,31/08/2017,
7-Eleven Inc.,9351,15/03/2024,
"Cengage Learning, Inc.",5675,21/06/2021,
"L3harris Technologies, Inc.",15585,17/09/2021,
MERCURIA ENERGY TRADING SA,19967,13/06/2023,
IKEA Service Office,8837,28/03/2021,
BMI TREINAMENTO CONSULTORIA E PUBLICACOES LTDA,4170,29/09/2023,
NATIONAL UNIFIED PROCUREMENT COMPANY FOR MEDICAL SUPPLIES 'NUPCO',4416,28/11/2023,
Franklin Square Capital Partners (FS Investments),10390,20/03/2022,
GE Aviation Systems LLC,3100,15/03/2016,
Lincoln Financial Group,5039,03/01/2020,
Northeastern University,23984,16/12/2022,
"Amazon.com Services, Inc.",3969,29/03/2022,
The Simple Vue LLC,2500,16/04/2018,
Roche Diabetes Care Brasil,2430,11/01/2019,
Xplore Inc.,81911,23/12/2019,
Cynatics Consulting GmbH,17159,04/10/2022,
Dallas Independent School District,9351,16/10/2023,
Kaiser Foundation Health Plan Inc.,3376,15/10/2018,
"HOULIHAN LOKEY, INC.",10390,08/09/2019,
Model N Inc,23333,31/12/2015,
MAYBORN GROUP LIMITED,3078,30/01/2020,
HOLDING DAELMANS II B.V.,73170,19/10/2023,
"American Express Travel Related Services Company, Inc.,",4470,26/02/2019,
"Centri Business Consulting, LLC",4156,12/07/2022,
Jetblue Airways Corporation,9351,18/04/2024,
"STelligence Co., Ltd.",2500,22/05/2017,
Attentive Mobile Inc.,3896,17/02/2023,
ALDI International Services SE & Co. oHG.,31906,03/06/2024,
"Six Continents Hotels, Inc.",5039,17/06/2021,
"Amazon.com Services, Inc.",7938,17/12/2021,
"RICOH USA, INC.",5195,27/12/2019,
"Ls Tractor Usa, LLC",4935,16/08/2021,
"The Atlantic Lottery Corporation, Inc.",203415,30/06/2023,
OP Financial Group,4481,16/10/2022,
SRC,4156,09/08/2023,
Portland Group Pty Ltd,10628,01/06/2015,
Nordea Bank AB,2182,03/05/2021,
TASTE MARKETING LTD,7853,28/02/2021,
Goodrich Corporation,4535,13/03/2020,
Bankwest,10022,25/09/2020,
ROYAL MAIL GROUP LIMITED,6540,16/12/2014,
"BayCare Health System, Inc.",26495,28/02/2020,
BRADKEN RESOURCES PTY LIMITED,8186,24/02/2022,
"MORNINGSTAR, INC.",7495,20/03/2023,
The Retail Firm LLC,5996,23/12/2020,
"HOULIHAN LOKEY, INC.",10390,19/09/2019,
"Expedia, Inc.",34183,01/04/2021,
Boston Scientific Corporation,52650,02/01/2019,
The Estee Lauder Companies Inc,4961,23/12/2022,
MITEL NETWORKS LIMITED,5852,21/03/2018,
Propertyfinder,7793,03/04/2023,
"OneAmerica Financial Partners, Inc.",15500,06/08/2019,
THE SAUDI NATIONAL BANK,6234,23/01/2017,
THE EDRINGTON GROUP LTD,18131,11/09/2017,
Illumina Cambridge Ltd,5478,28/09/2022,
Florida Ice & Farm Company SA,0,13/07/2020,
KM Malta Airlines Limited,16120,05/08/2023,
Norwegian Petroleum Directorate,3637,14/02/2017,
Blue Cross and Blue Shield of North Carolina,46240,31/12/2016,
Express Scripts Holding Company,10788,01/11/2018,
Biz Travel Solutions LLC,4795,15/08/2017,
Cognitive Contractor LTD,5195,01/01/2023,
Gyeonggi Content Agency,3637,14/09/2020,
HM TREASURY,51541,13/03/2024,
D'ORNANO ET ASSOCIES,4205,01/05/2024,
Siemens Corporation,5039,28/03/2020,
Flat Cap Consulting Limited,4430,03/06/2024,
ViaSat Inc.,10390,30/11/2021,
"Paradigm Alliance, Inc.",3220,12/03/2018,
London School of Economics,27783,23/06/2023,
Wintrust Financial Corporation,6500,28/01/2020,
INTAGE INC.,3574,17/03/2020,
"Usalco, LLC",3896,03/02/2023,
"SHISEIDO JAPAN CO., LTD.",2494,20/09/2019,
"Healthtrust Purchasing Group, LP",10078,02/07/2016,
Charter Communications Operating LLC,6500,31/08/2018,
Johnson & Johnson,73492,31/07/2018,
Unilever De Argentina S A,11040,24/07/2020,
Libbs Farmaceutica Ltda.,8692,10/12/2021,
IRB Holding Corp.,24313,12/12/2023,
Esco Corporation,6234,27/02/2023,
"LOTTE GRS Co.,Ltd",9356,01/05/2023,
Mizkan Holdings,9320,01/06/2024,
ABSA (PTY) LTD,3910,30/11/2023,
RADIOPLUS EXPERTS LTD,5630,03/04/2024,
Dimago,2500,09/11/2016,
CBRE Limited,10387,30/11/2016,
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),7562,22/01/2021,
Equitable Financial Life Insurance Company,77903,30/10/2016,
"Cengage Learning, Inc.",89213,19/02/2014,
McCann Minneapolis,25968,14/08/2015,
"Amedisys Sc, L.L.C.",19845,25/11/2022,
Formation Advertising,4416,27/01/2024,
FUJITSU NETWORK SOLUTIONS LTD.,4676,01/11/2019,
Alpitour S.P.A.,5604,18/11/2019,
"Cardtronics USA, Inc.",32475,06/04/2020,
"DPS Holdings, Inc.",15585,19/06/2018,
"Razorhorse Capital, Inc.",5194,07/11/2016,
"Wells Fargo Bank, N.A.",35274,26/03/2020,
FirstCaribbean International Bank Limited,5195,13/10/2020,
"Pa-Logic Solutions, LLC",8771,29/06/2023,
Knauf A/S,2337,21/12/2016,
"Kellogg de México, S. de R.L. de C.V.",3637,23/10/2020,
Virginia Department of Veterans Services,14972,02/06/2022,
"Ecoatm, LLC",29995,29/12/2016,
extrafarma,25566,29/03/2023,
KAUFMAN & BROAD,0,28/05/2018,
"Genomic Health, Inc.",3196,01/01/2018,
Avison Young (USA) Inc.,20780,17/07/2020,
Bharti Airtel Limited,0,04/04/2019,
Aegis Premier Solutions,27779,28/02/2022,
"Nordstrom, Inc.",29995,15/10/2015,
STATE STREET CORPORATE SERVICES MUMBAI PRIVATE LIMITED,4805,21/06/2021,
Loblaws Inc,5772,12/09/2019,
Woolworths Group Ltd,4601,05/10/2019,
Children's Hospital of Philadelphia,20318,01/03/2020,
"Netgear, Inc.",25975,24/05/2022,
Callcredit Limited,3290,14/11/2016,
Engagedly Inc.,12201,30/04/2023,
MSD K.K.,7273,14/03/2021,
Patient Square Capital,12982,15/07/2023,
RONA Inc,40837,01/02/2023,
OLD MUTUAL (SOUTH AFRICA) LTD,0,18/12/2018,
CISCO SYSTEMS POLAND SP Z O O,25397,23/04/2019,
"Sonic Restaurants, Inc.",5590,03/04/2017,
"KIRIN BREWERY COMPANY, LIMITED",26085,23/12/2022,
"Salesforce, Inc.",4465,30/10/2022,
TVS ELECTRONICS LIMITED,4156,07/05/2024,
Flexera Software Limited,29784,01/12/2023,
Lenovo (United States) Inc.,15585,15/05/2024,
"Paychex, Inc.",13538,27/12/2018,
UNIVERSITY OF CAMBRIDGE,4587,31/03/2020,
Deloitte Statsautoriseret Revisionspartnerselskab,7472,17/12/2019,
London Borough of Waltham Forest,7200,29/10/2018,
Magna International Inc,34547,01/01/2024,
Baker Botts L.L.P.,15585,15/02/2024,
Heifer Project International,39776,05/05/2020,
Manpowergroup Inc.,5253,22/01/2022,
"Point32Health Services, Inc.",4805,26/04/2022,
DFS Venture Singapore,29612,15/11/2021,
ARYSTA LEFESCIENCE SAS,5253,27/10/2019,
"Michaels Stores Procurement Company, Inc.",23916,14/06/2021,
"Hdr, Inc.",5094,27/01/2022,
"Marginpoint, Inc.",5195,30/03/2024,
Accelerate Investment Partners,3564,04/04/2024,
"Speak Retail, LLC",5195,10/03/2022,
CLISTAT CONSEIL,5441,20/06/2023,
"NetApp, Inc.",7750,01/08/2015,
Fastrics LLC,5195,21/06/2024,
VALPAK LIMITED,0,26/11/2018,
AYM Commerce,3241,13/11/2020,
"NT Department of Infrastructure, Planning & Logistics",2238,30/09/2014,
Shenandoah Management Company,67129,08/03/2023,
"Watermark Data, LLC",2500,29/03/2019,
MONOPRIX,6760,13/09/2021,
Renault Finance Nordic Bankfil Till Rci Banque S,3611,31/08/2019,
Grupo Boticário,2953,21/06/2018,
"Cytokinetics, Incorporated",19092,18/01/2022,
BAR-S FOODS CO.,5091,01/09/2021,
Mayor's Office for Policing and Crime,4920,23/03/2020,
Sodexo Chile SpA,4156,28/09/2022,
National Information Center,70305,29/12/2021,
Air Liquide Sante Services,0,21/07/2017,
Everton Football Club,0,19/08/2021,
Westpac Banking Corporation,4300,15/06/2021,
adidas International Marketing B.V.,6299,24/07/2018,
Mayo Foundation for Medical Education and Research,0,01/09/2017,
Kia Chile SA,0,13/07/2020,
SpartanNash,10390,14/10/2022,
Pfizer Inc.,23378,10/01/2020,
Consulting 2,5000,01/06/2020,
Superior Plus LP,5679,21/12/2022,
Sparebank 1 Sr-bank ASA,5520,05/09/2018,
"USCC Services, LLC",18245,20/01/2020,
LIONS Festivals,27997,30/11/2015,
"Securian Financial Group, Inc",7495,08/06/2023,
Transport Canada,4797,31/03/2019,
AGL ENERGY LIMITED,4303,25/04/2023,
Optum,2900,20/09/2018,
Porsche (China) Motors Ltd.,9351,30/12/2019,
Government of Ontario,4855,08/07/2024,
"TOKYO GAS CO., LTD.",8918,14/06/2021,
INFORMA PLC,37773,29/03/2020,
IKEA B.V.,4489,30/09/2019,
Produce Pay Inc.,4684,01/05/2024,
Sempra Energy,165127,15/10/2019,
Golden Gate Capital LP,5195,07/10/2022,
NATIONAL HOUSING COMPANY,3450,01/07/2024,
"Covetrus, Inc.",5195,26/02/2021,
"The Boston Consulting Group, Inc.",48000,28/09/2018,
"BMC Software, Inc.",3995,05/01/2018,
Sirius Insight SA,2488,01/10/2015,
Celgene Corporation,3995,10/02/2015,
IAMGold Corporation,17586,19/06/2020,
"Morton Salt, Inc.",12176,06/09/2019,
First Horizon Bank,7657,28/07/2016,
"WellTower, Inc.",5694,30/10/2015,
"Kreston BSG, S.C.",10910,01/07/2024,
Australian Postal Corporation,3742,01/04/2018,
Volvo Car Corporation,5663,29/05/2020,
Janssen Japan,7948,09/11/2019,
MONTLAKE ASSET MANAGEMENT LIMITED,8837,05/06/2021,
Equity Services Inc,8323,01/10/2015,
The Toronto-Dominion Bank,16837,01/11/2017,
MISUMI GROUP INC.,7254,01/09/2020,
"TechStyle, Inc.",9750,20/01/2016,
"Charter Manufacturing Company, Inc.",3962,12/12/2017,
Beinex Consulting DWC LLC,2500,10/04/2019,
Oxford University Press,3769,03/02/2022,
NBN CO LIMITED,23980,10/08/2018,
Intel Corporation,5039,15/02/2020,
Exxonmobil Global Services Company,5195,26/09/2022,
Twenty Twenty Analytics LLC,11186,14/12/2016,
Bridgestone Europe NV,43021,29/12/2018,
Polaris Sales Europe Sarl,3995,31/01/2017,
Syngenta Proteç?o de Cultivos Ltda,1797,16/07/2020,
IQVIA LTD.,11295,08/03/2022,
Kia Chile SA,9351,25/02/2024,
General Electric Capital Corporation,8520,26/11/2018,
"RECRUIT MARKETING PARTNERS CO.,LTD.",10788,15/08/2020,
"Syngenta Crop Protection, LLC",20185,27/05/2022,
Autodesk GmbH,5455,15/07/2017,
"Bain Capital, LP",18667,09/03/2015,
Havas Media,4180,11/09/2016,
Menora Mivtachim Holdings Ltd,5818,08/09/2020,
University of Glasgow,5130,06/09/2019,
"Amazon.com Services, Inc.",10078,15/09/2020,
"NOVOZYMES NORTH AMERICA, INC.",9351,30/03/2018,
"Gilead Sciences, Inc.",674520,24/09/2021,
Weathergage Capital,4900,30/11/2016,
Wilke Markedsanalyse A/S,3755,21/09/2021,
TD Ameritrade Holding Corporation,20364,31/12/2021,
"Amazon.com Services, Inc.",3969,25/04/2022,
THE FINANCIAL CONDUCT AUTHORITY,24862,23/01/2024,
"Cetera Financial Group, Inc.",62340,16/03/2023,
Cisco Systems Canada Co,3995,24/11/2015,
"CCBCC OPERATIONS, LLC",118244,31/12/2019,
"GRI CO., LTD.",3117,19/07/2019,
Johnson & Johnson,3868,22/06/2018,
Bank of America Merrill Lynch,3100,15/11/2017,
UNIVERSITY OF NOTTINGHAM (THE),2590,16/07/2019,
"Nanostring Technologies, Inc.",4935,23/03/2020,
Energidepartementet,10369,15/08/2024,
Left Field Football Consulting Ltd,5374,27/12/2022,
NITTO DENKO CORPORATION,3328,01/04/2023,
Toyota Motor Sales USA Inc,925727,15/04/2023,
"Salesforce, Inc.",4961,06/12/2022,
"HOTELBEDS TECHNOLOGY, SLU",18390,30/11/2020,
JOHN LEWIS PARTNERSHIP PLC,6534,28/12/2015,
share GmbH,6312,01/04/2021,
Totalkredit,14365,01/11/2021,
FirstBank UK Limited,5396,08/07/2019,
NFI Industries,21299,30/03/2023,
The Tie Bar,11695,26/10/2019,
THE ISRAEL ELECTRIC CORPORATION LTD.,2598,31/12/2022,
"Suny, University At Buffalo",13983,30/01/2015,
Linde Inc.,5039,31/01/2018,
Millward Brown UK Ltd.,4262,29/09/2017,
University of Tasmania,9978,10/12/2018,
"Via Transportation, Inc.",8601,20/09/2016,
Coventry University,52791,02/09/2023,
Trimble Inc.,20780,24/04/2022,
Uab Health System,3741,01/12/2019,
The TJX Companies Inc,85587,26/11/2021,
U.S. Bank National Association,5039,30/03/2018,
"Riveron Consulting, LP",0,12/02/2019,
Children's Medical Center of Dallas,5195,01/07/2019,
Seidco Servicios de Ingenieria Y Administracion Integral SA de CV,4156,12/04/2023,
Linde Inc.,5039,30/11/2017,
LIONS Festivals,59606,30/11/2022,
Innovative Insights,2500,15/11/2017,
DELA,3995,19/04/2024,
"Longtail Ad Solutions, Inc.",11975,26/09/2017,
"Palo Alto Networks, Inc.",23378,15/12/2020,
Anthony Nolan,4860,31/08/2016,
the7stars,4587,17/05/2019,
Big W,4505,15/09/2020,
SISTEMCAM SA,4481,26/09/2022,
"NetApp, Inc.",5195,24/01/2020,
Chemical Abstracts Service,5195,30/06/2018,
Wells Fargo & Company,5039,06/08/2019,
Navig8 Europe Ltd,4320,21/04/2016,
Giant Steps Capital Investimentos Ltda,3397,12/07/2022,
Fonterra Co-operative Group Limited,0,01/08/2019,
DEPARTMENT OF TRANSPORT AND MAIN ROADS,2273,20/01/2016,
Inka Solutions,3995,26/10/2019,
"Elevance Health, Inc.",5039,19/10/2020,
FIL India Business and Research Services Pvt. Ltd,10792,04/02/2020,
"Vology, Inc.",8990,31/07/2015,
Collins Aerospace,4676,09/08/2022,
BOURBON CORPORATION,4459,26/10/2021,
UCLA,8488,15/10/2014,
DBS Bank (Hong Kong) Limited,3455,08/01/2023,
dhatim,4363,01/06/2017,
Coverys Inc.,11395,12/07/2022,
Cargill Business Services India Private Limited,2728,14/09/2017,
Commonwealth Bank of Australia,2973,26/02/2019,
"Gartner, Inc",7591,20/05/2016,
STANDARD CHARTERED BANK - SG,4972,08/10/2021,
Hyatt Corporation,5790,03/01/2020,
United States Dept. of Agriculture,140030,22/09/2018,
Policia Nacional,3117,02/09/2019,
RBC Royal Bank,11062,08/08/2020,
AT&T GLOBAL NETWORK SERVICES (UK) BV -  BRANCH,5609,28/02/2021,
"Six Continents Hotels, Inc.",4676,18/08/2017,
Hong Kong Baptist University,5873,01/11/2021,
20:20 RETAIL DATA INSIGHT LIMITED,13554,27/05/2022,
"IHC Health Services, Inc.",250000,31/12/2017,
Shipley Do-Nut Flour and Supply Co LLC,12468,17/04/2023,
SURVITEC GROUP LIMITED,7877,02/01/2023,
Patient Square Capital,5195,20/04/2023,
"Lottery Commission, Ohio",9351,01/09/2022,
KRISPY KREME U.K. LTD,2591,12/02/2019,
"Six Continents Hotels, Inc.",5039,23/04/2021,
"Centro de Servicios Compartidos, S.A. de C.V.",95550,01/03/2024,
Gadberry Group LLC,19886,16/01/2023,
Taylor Morrison Home Corporation,15585,16/12/2021,
STANDARD CHARTERED BANK - SG,5087,25/07/2022,
SONY INTERACTIVE ENTERTAINMENT INC.,10096,16/03/2022,
Johnson & Johnson Vision Care Inc,6722,27/07/2020,
Biomat USA Inc,0,13/05/2020,
"Invesco, Ltd.",12911,16/05/2018,
InterCement Brasil SA,30248,17/11/2016,
Unisys Corporation,9922,12/06/2021,
Unitedhealth Group Incorporated,2900,19/04/2018,
"Market Metrics, Inc.",1295,14/01/2016,
"AmeriCredit Financial Services, Inc. d/b/a GM Financial",19059,19/12/2019,
ITM ALIMENTAIRE INTERNATIONAL,5897,05/06/2022,
"CBRE, Inc",5195,27/09/2020,
PHOENIX Pharma-Einkauf GmbH,16986,29/05/2019,
Quest Diagnostics Inc.,4676,14/05/2024,
JMAN GROUP LIMITED,14646,19/04/2023,
DEPARTMENT OF PLANNING & ENVIRONMENT/ NSW government,3359,27/05/2019,
Rubin Postaer and Associates,5195,21/05/2021,
General Electric Company,764788,30/09/2016,
BNP PARIBAS EL DJAZAIR,2909,17/11/2020,
Canada Deposit Insurance Corporation,13738,24/06/2021,
Cushman & Wakefield Belgium,5093,09/11/2022,
Element Fleet Corporation,9351,10/06/2024,
"Beckman Coulter, Inc.",11344,18/09/2020,
Noetic Digital,2458,16/10/2017,
Coventry University,2590,20/03/2020,
Benefits Data Trust,15840,01/12/2022,
Amgen Australia Pty Ltd,4606,18/02/2016,
MONDIAL RELAY,15776,10/07/2023,
Fidelity Investments,30235,24/12/2020,
"ZS Associates, Inc.",3904,04/08/2020,
Man Latin América S/A.,14123,06/12/2017,
Robert Wyman,4194,27/01/2017,
Farmer Mac,5195,31/12/2020,
Oscar Management Corporation,5195,31/12/2021,
"Lima One Capital, LLC",5091,29/06/2022,
Quigley-Simpson,110694,27/07/2016,
"CAMPOFRIO FOOD GROUP, SOCIEDAD ANONIMA",0,20/06/2018,
BMO Harris Bank,4961,03/11/2022,
Deere & Company,27113,03/02/2022,
"Amazon.com Services, Inc.",409533,04/11/2023,
STANDARD CHARTERED BANK - SG,4972,26/03/2021,
Verizon Communications Inc.,4217,15/06/2021,
If P&C Insurance,0,13/06/2018,
Dorsey Road Warehouse - MPO,13491,06/12/2023,
John Swire & Sons (H.K.) Limited,3637,01/10/2022,
"Cisco Systems, Inc.",11985,30/10/2015,
ec4u data experts gmbh (Insight Dimensions GmbH),2500,14/02/2015,
TRANE TECHNOLOGIES INDIA PRIVATE LIMITED,5039,31/05/2021,
HCA-Hospital Corporation of America,10079,01/10/2021,
American Car Center,7273,31/08/2021,
Precision Dynamics Corporation,5985,08/05/2018,
Carrefour Management,23582,31/03/2017,
"CENTROS COMERCIALES CARREFOUR, S.A",9187,31/08/2020,
Brother International Corporation,9845,21/01/2019,
Simmons Prepared Foods Inc.,4935,30/09/2021,
"DHL Express, US",5195,05/12/2022,
UNILEVER ASIA PRIVATE LIMITED,6754,31/05/2019,
MarinHealth Medical Center,10390,14/07/2019,
"Lima One Capital, LLC",12064,31/10/2021,
Jam Industries,5195,21/06/2024,
Credit Suisse (Poland) Sp. z o. o.,12224,01/11/2017,
NATIONAL AUSTRALIA BANK LIMITED,23064,26/02/2024,
Abbott Laboratories,60785,02/03/2022,
MEDIQON GmbH,5978,24/06/2016,
House Canary,38994,11/02/2016,
"STAFF SERVICE HOLDINGS CO.,LTD.",3325,03/12/2019,
HSS HIRE SERVICE GROUP LIMITED,6084,26/11/2023,
MCGRATHNICOL SERVICES PTY LTD,3591,09/10/2021,
Trane Technologies Company LLC,5051,27/05/2016,
"USA Harness, Inc.",3637,25/03/2022,
TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,3340,16/10/2022,
Polaris Sales Europe Sarl,3995,28/09/2016,
Fonterra Co-operative Group Limited,3019,04/02/2019,
QUEEN SAVANG VADHANA MEMORIAL HOSPITAL,3637,15/02/2018,
Continental Battery Company,4935,30/07/2022,
Mercadolivre.Com Atividades de Internet Ltda,5946,29/08/2022,
Flughafen München Gesellschaft mit beschränkter Haftung,8994,01/09/2021,
Arctic Slope Regional Corporation,8761,27/05/2022,
Aller Media,5195,25/11/2017,
Las Vegas Sands Corp.,13247,15/02/2021,
Cox Communications Inc.,5764,26/06/2020,
"Cambia Health Solutions, Inc.",0,21/11/2018,
"City of Carlsbad, CA",10526,26/10/2021,
Tripadvisor LLC,9871,03/05/2023,
Vodafone Group Services Limited,3988,24/01/2020,
Goldentree Asset Management LP,8051,30/06/2022,
TE Connectivity Corporation,7169,03/04/2019,
Bell Canada,30245,22/01/2018,
"Banco del Bajío, S.A. Institución de Banca Múltiple",19665,29/03/2024,
Lettuce Entertain You Enterprises,0,15/01/2018,
City of Las Vegas,5611,30/09/2014,
Uber BV,5837,28/06/2019,
BNP PARIBAS,4700,18/02/2019,
Exelon Corporation,8000,19/10/2019,
BRITISH SKY BROADCASTING GROUP PLC,3756,23/05/2022,
IVF Avocats,4418,01/10/2021,
"IDEXX Laboratories, Inc.",3637,05/10/2022,
Reckitt Benckiser India Ltd,4157,02/11/2019,
Prudential Holdings Ltd,2701,01/12/2020,
"TEP Barnett USA, LLC",5195,16/10/2023,
"BN Pricing Solutions, LLC",4182,01/12/2018,
Railinc Corp.,10910,15/12/2023,
Volkswagen Financial Services Digital Solutions GmbH,11076,14/02/2020,
Amway Corp,2290,05/03/2022,
RBC Wealth Management,3875,31/08/2015,
WESLEY MISSION QUEENSLAND,7364,29/04/2024,
BNP Paribas SA,0,01/10/2018,
DAVID LLOYD LEISURE LIMITED,4453,16/11/2021,
CACI Ltd.,218789,24/03/2023,
THE ROYAL BANK OF SCOTLAND INTERNATIONAL LTD,7212,19/06/2020,
Virgin Atlantic Airways,2318,24/07/2017,
"PRUDENTIAL FINANCIAL, INC.",10078,31/10/2019,
NEWPORT ONE,71078,31/12/2022,
"NIPPON STEEL ENGINEERING CO., LTD.",3200,01/09/2023,
"Amazon.com Services, Inc.",7938,24/12/2021,
AWARE ENVIRONMENTAL LTD,8940,01/06/2022,
Cognizant Technology Solutions India Pvt Ltd.,3818,10/01/2022,
STANDARD CHARTERED BANK - SG,9310,06/08/2022,
S&P Global Inc.,25968,28/05/2016,
Oregon Shakespearean Festival Association,4414,21/10/2016,
Asan-si,4156,22/12/2023,
Better Collective A/S,2597,08/07/2016,
"Opry Entertainment Group Holdings, LLC",5195,06/05/2019,
Warner Music Group Corp.,20780,16/05/2024,
BI Inc.,29536,12/01/2016,
iCFO,0,15/03/2021,
Office of Financial Management,4675,20/04/2021,
Actinvision Group,2742,07/06/2019,
Fundación Santa Fe de Bogotá,0,23/09/2022,
JNJ Global Business Services s.r.o.,51216,31/08/2020,
Mondelez Global LLC,25000,30/06/2019,
"Western Union Financial Services, Inc.",5168,06/07/2022,
WHIRLPOOL SA CENTRO ADMINISTRATIVO,96352,27/06/2024,
Telstra Corporation Limited,13429,20/08/2018,
Circle K Stores Inc.,4961,07/02/2022,
BMW AG,11324,18/06/2019,
Edge Hill University,6475,11/06/2019,
"Customer Communications Group, Inc",0,30/11/2018,
"Fidelity & Guaranty Life Business Services, Inc",98705,29/07/2022,
"ALUE CO., LTD.",5096,19/03/2021,
NATIONAL LIFE AND GENERAL INSURANCE COMPANY SAOG,5195,01/07/2023,
Fidelity Investments,5039,20/04/2021,
"Juniper Networks, Inc.",52002,25/03/2020,
"American Century Companies, Inc.",120825,10/07/2023,
Hollyfrontier Corporation,5195,30/09/2021,
Simba (Pty) Ltd,8187,15/05/2018,
KDDI ENGINEERING COPORATION,9890,19/01/2023,
"Validity, Inc.",7273,19/11/2022,
Envision Healthcare Operating Inc,12850,15/11/2019,
"SHISEIDO COMPANY, LIMITED",4236,20/12/2021,
Commonwealth Bank of Australia,2728,21/04/2017,
Sentara Health Plan,15585,15/10/2020,
MasonBreese Switzerland GmbH,2713,21/12/2019,
BNP PARIBAS ITO Credit Transaction Management,4946,01/08/2020,
Jam Industries,5195,21/06/2023,
The Coca-Cola Company,14243,16/04/2021,
Verizon Communications Inc.,4283,23/08/2018,
"Michaels Stores Procurement Company, Inc.",9351,03/05/2019,
"MP Agency, LLC",3995,28/02/2015,
Orgvue Limited,80730,02/04/2021,
"Wabtec Transportation Systems, LLC",9922,22/08/2021,
Relx Inc.,1725,30/06/2023,
Fasken Martineau Dumoulin LLP,6105,21/01/2022,
Campbell Soup Company,10078,24/06/2019,
Carrefour Hypermarches SAS,4889,27/02/2019,
share GmbH,5897,01/04/2022,
OceanFirst Bank,20780,30/11/2021,
ACCURO FIDUCIARY SERVICES LIMITED,3454,21/05/2020,
Seagate Technology LLC,120827,15/11/2016,
JNJ Global Business Services s.r.o.,56968,27/09/2020,
GRUPO NUTRESA S A,1998,20/01/2016,
GCV LIFE PRIVATE LIMITED,3091,27/12/2018,
The Trade Desk,30921,29/12/2023,
"Assurant, Inc.",4922,30/07/2023,
Marketing Clinic Oy,5818,25/09/2020,
Johnson & Johnson,50089,30/04/2019,
TUI Sverige AB,7650,15/12/2017,
Neuberger Berman Group LLC,220477,09/12/2023,
"DOW JONES & COMPANY, INC.",4678,07/03/2022,
"Verizon Wireless, Inc.",4217,04/02/2022,
"Clarion Events Usa, Inc.",7273,18/12/2022,
GENOMICS ENGLAND LIMITED,293794,30/07/2022,
J.P. BODEN & CO. LIMITED,88300,14/12/2019,
Spencer Stuart,10390,16/04/2023,
Johnson & Johnson Vision Care Inc,7736,20/10/2018,
"Franchise Concepts, Inc.",1295,,
Johnson & Johnson,4268,20/11/2019,
Ralph Lauren Corporation,189620,15/10/2021,
Canadian Imperial Bank of Commerce,0,01/09/2018,
"Nike, Inc.",58500,30/03/2016,
"Crossland Construction Company, Inc.",8187,16/05/2017,
TruPar,8000,11/04/2023,
Bridgetree LLC,15585,30/07/2023,
"Calpine Energy Solutions, LLC",169900,27/09/2022,
Glencore Canada Corporation,5950,24/12/2019,
"Six Continents Hotels, Inc.",10078,31/10/2019,
"Nike, Inc.",31514,20/04/2016,
Adtalem Global Education Inc.,14806,21/03/2024,
OptumRx,35264,21/07/2016,
"Resilience US, Inc.",20975,21/03/2024,
"Bluechip Insights, Inc",4914,30/06/2016,
Adidas AG (HZO),9190,23/09/2022,
Selective Insurance Company of America,22800,28/06/2022,
"Trueblue, Inc.",85358,23/12/2023,
LC INTERACTIVE LTD,21171,20/01/2024,
Port Townsend Paper Company LLC,5195,13/10/2023,
POSTERSCOPE LTD,0,08/05/2018,
Credit Suisse Securities (Europe) Limited,4360,30/09/2015,
Royal Bank of CA,14342,28/03/2019,
QED Actuaries & Consultants (Pty) Ltd,10391,09/06/2022,
Public Health Wales NHS Trust,15892,01/01/2023,
Polaris Industries Inc.,7990,01/10/2018,
"Crop One Holdings, Inc.",4676,06/12/2019,
"Summit Health Management, LLC",186016,16/07/2023,
Jotun,5897,08/08/2022,
Highmark Health Solutions Inc.,5039,29/05/2018,
"Reyes Holdings, L.L.C.",8204,01/03/2020,
"Bridgestone Retail Operations, LLC",4676,03/04/2020,
SABMiller Holdings Ltd.,19492,24/04/2016,
